ticker,return_total,return_annualized,return_mean_daily,volatility_annual,downside_dev_annual,max_drawdown,var_95,cvar_95,sharpe_ratio,sortino_ratio,calmar_ratio,beta,alpha_annual,r_squared,correlation_spy,skewness,kurtosis,positive_return_ratio,gain_loss_ratio,vol_of_vol,momentum_6m,segmento,segmento_nombre,pca_1,pca_2,return_annualized_norm,momentum_6m_norm,sharpe_ratio_norm,beta_norm,score_compuesto,peso
AMD,53.79925650557621,0.5614875393477474,0.0024609952519444,0.5972429313439714,0.3764264556525134,-0.6544994132542771,-0.0531735506402961,-0.0769449853684599,0.9546714972531346,1.51469376003778,0.9475498234695288,1.6251808241385282,0.4726276658828523,0.2446381285170595,0.4946090663514565,1.342589999539003,18.70901392385003,0.5068493150684932,1.1331937609256764,0.0145641925318182,0.2727508202383009,-1,Outliers,-6.317127114105862,2.9277816746647782,1.0,0.12182531190324443,0.9644347109349889,0.9534792692837892,0.7219086540679795,0.1
NVDA,129.31578947368422,0.4545938830760183,0.0019081847234918,0.4623578315664552,0.308142239935583,-0.6635710005991612,-0.0421398474912484,-0.0614009140026136,0.931881155468253,1.398258643183797,0.7246587778636451,1.622745840227263,0.3212489900523175,0.3710680505893998,0.6091535525541978,0.6539642331914702,8.187315926495911,0.4239462431276726,1.0346382375705003,0.0114823708769387,0.1676491393539261,-1,Outliers,-4.431531895701035,2.904595903134988,0.9001607189766766,0.10800733962759355,0.9590942619657814,0.9529909067309003,0.6819207741711621,0.1
AVGO,7.38063063063063,0.3085793554284817,0.0013030490746525,0.3429032562070078,0.2522198722541775,-0.487797437461867,-0.0315940512435441,-0.0477546978325049,0.8117985518469063,1.103673411315936,0.6731654198944156,1.3113552677998674,0.1695230055931336,0.4957434378779382,0.7040905040390321,-0.3459852502396232,9.156001502438782,0.5308890005022602,1.0319995978175476,0.0092690420873598,0.2737334550433592,0,Conservador,-1.8533723691816928,2.5603043990166605,0.7637823222808777,0.12195450127851544,0.930955367745477,0.8905381347874525,0.6216610953011739,0.1
CDNS,31.77617328519856,0.3080278803713818,0.0012457763254464,0.3012470207288179,0.20997597241721,-0.3211697075731067,-0.0274811946355223,-0.0423131248260926,0.8761435494829384,1.2569801724174523,0.9774758534506148,1.190267702002635,0.1835351934420948,0.4702759477849644,0.6857666861148655,0.320482824127771,6.149553821668055,0.5311545510079414,1.0455034630224491,0.0081629681300067,0.157051826677995,0,Conservador,-1.047882051333064,3.389312921678701,0.7632672414507938,0.10661408529026745,0.9460332976660786,0.8662527042011268,0.6142832955849953,0.1
ALL,3.362106575257089,0.1200113679225223,0.0005583457564024,0.2328734603463729,0.1856276878853269,-0.416819303973879,-0.0202407593568342,-0.0344063427245124,0.3894953528775426,0.4886293184315132,0.3375638538618222,0.8611922957952091,0.0325311413363219,0.4119734884476864,0.6418516093675285,-0.6493571946831103,10.771575812344125,0.5271838729383018,0.9933795233199588,0.0072928341318653,0.2666726993032302,1,Alto Rendimiento,1.058592179651272,0.9617740132119872,0.5876587528077547,0.12102620663811307,0.8319972781776837,0.8002530461643965,0.52683862643368,0.1
HON,3.1224702691425,0.115115391292399,0.0005373838663122,0.2297990127102862,0.171882944589196,-0.4331556997219647,-0.0205521371450138,-0.033443858220426,0.3717193268291841,0.4969703917677006,0.3126375444155601,1.0417817735132175,0.0151558487794472,0.6189202682859442,0.7867148583101403,0.0407857831805518,10.275038961741508,0.526412213740458,0.9968177457167752,0.0070965792954168,0.0067767247528789,1,Alto Rendimiento,0.8941754766601913,0.9892521546847904,0.5830858828760169,0.08685705405490335,0.8278318312141136,0.8364722334679516,0.5216063965987843,0.1
URI,24.238556338028168,0.281988258992045,0.0013892192421081,0.4496207144866311,0.3230837200401417,-0.6358595194085027,-0.0413981561044397,-0.0641283963342375,0.667414198996311,0.928809563582962,0.5505669701019854,1.701160424632124,0.1851729247276827,0.4312279570749989,0.6566794934174501,-0.1262380467438834,5.385671479508085,0.5271838729383018,1.0235817508628826,0.0111175375154996,0.2781579475291442,2,Moderado,-3.675497123384316,1.2154245433145583,0.7389460874430782,0.12253620001052394,0.8971218572334867,0.9687178059709819,0.623703830387454,0.1
EPAM,20.238571428571426,0.2934190414007109,0.0014187158588897,0.4383351216432149,0.3625511021333621,-0.7563729111207126,-0.0369390224516498,-0.0608203788755846,0.701555456672978,0.8482015214701872,0.472672131938836,1.3445115812441848,0.2131274127635981,0.2677921200512753,0.5174863476955458,-1.208251870741264,36.71715150644471,0.5364304812834224,1.0088629707278367,0.0150505437789527,0.3122958778356428,2,Moderado,-3.21803981021676,0.9890940183534186,0.7496225030230089,0.1270243963034286,0.9051221604359492,0.8971879946913076,0.6156811179527356,0.1
LQD,0.0189686924493555,0.0014469510317891,1.820963679849004e-05,0.0793377316679691,0.0626255927475581,-0.2937118217750629,-0.0073790327747027,-0.0114440642127064,-0.5723779918088368,-0.7251216241550251,0.0156235743099704,0.0853546887414091,-0.0511767270971899,0.034866166285992,0.1867248411058156,0.4855368047301298,32.440763206061035,0.5268784361637141,0.8888502746338324,0.0029187011119217,0.0294911154526003,3,Estable,5.45305788948355,-1.398254785633465,0.47691891519541635,0.08984336995685686,0.6066019962365374,0.6446503612122737,0.4137950029833881,0.1
TIP,0.0022377622377622,0.0001720105382432,7.810075484622052e-06,0.0599477304679632,0.0438960046686441,-0.2196240256762953,-0.0057309074350769,-0.0087870337308056,-0.8012290140582394,-1.0942194247620318,0.0089614012677538,-0.0224869825266968,-0.046512905788884,0.004238633468003,-0.0651047883646283,0.0846075689173019,10.989108438463012,0.5051924251679902,0.957888397518296,0.0017680556712868,0.0046733339564444,3,Estable,6.373815869216105,-1.904270011997271,0.4757281135457884,0.08658051617781681,0.5529754548967917,0.6230215390896078,0.40002962064681125,0.1
