Fecha,Retorno
2024-02-29,0.08393458504376383
2024-03-31,0.02488642690055376
2024-04-30,-0.06413195239332103
2024-05-31,0.042076418969754004
2024-06-30,0.050427189446484944
2024-07-31,-0.004424532145065108
2024-08-31,0.015217632789502611
2024-09-30,0.0320165493601412
2024-10-31,-0.0022285683823556335
2024-11-30,0.05383693555147118
2024-12-31,-0.006766188132462325
2025-01-31,-0.020114703707468484
2025-02-28,-0.05551840600498026
2025-03-31,-0.05739877762753143
2025-04-30,0.022071843035782912
2025-05-31,0.11718727220239944
2025-06-30,0.08788176451469787
2025-07-31,0.08005644550197699
2025-08-31,0.00040559696582209703
2025-09-30,0.03282515129304775
2025-10-31,0.06676213622707095
2025-11-30,-0.029770455602842638
2025-12-31,-0.03225551017260597
