ticker,return_total,return_annualized,return_mean_daily,volatility_annual,downside_dev_annual,max_drawdown,var_95,cvar_95,sharpe_ratio,sortino_ratio,calmar_ratio,beta,alpha_annual,r_squared,correlation_spy,skewness,kurtosis,positive_return_ratio,gain_loss_ratio,vol_of_vol,momentum_6m,segmento,segmento_nombre,pca_1,pca_2,return_annualized_norm,momentum_6m_norm,sharpe_ratio_norm,beta_norm,score_compuesto,peso
ALL,3.362106575257089,0.1200113679225223,0.0005583457564024,0.2328734603463729,0.1856276878853269,-0.416819303973879,-0.0202407593568342,-0.0344063427245124,0.3894953528775426,0.4886293184315132,0.3375638538618222,0.8611922957952091,0.0325311413363219,0.4119734884476864,0.6418516093675285,-0.6493571946831103,10.771575812344125,0.5271838729383018,0.9933795233199588,0.0072928341318653,0.2666726993032302,1,Alto Rendimiento,1.058592179651272,0.9617740132119872,0.5876587528077547,0.12102620663811307,0.8319972781776837,0.8002530461643965,0.52683862643368,0.1
HON,3.1224702691425,0.115115391292399,0.0005373838663122,0.2297990127102862,0.171882944589196,-0.4331556997219647,-0.0205521371450138,-0.033443858220426,0.3717193268291841,0.4969703917677006,0.3126375444155601,1.0417817735132175,0.0151558487794472,0.6189202682859442,0.7867148583101403,0.0407857831805518,10.275038961741508,0.526412213740458,0.9968177457167752,0.0070965792954168,0.0067767247528789,1,Alto Rendimiento,0.8941754766601913,0.9892521546847904,0.5830858828760169,0.08685705405490335,0.8278318312141136,0.8364722334679516,0.5216063965987843,0.1
IVV,2.7859067850348764,0.1078684355955565,0.0004677438099857,0.1750507598632355,0.1436988851920911,-0.3390314228551253,-0.0167942243514478,-0.0269112067301349,0.3877243387542829,0.4723170957497677,0.3476711365682954,1.0045255215703188,1.7549464254501546e-05,0.9919800541929468,0.9959819547526686,-0.5107803815507378,12.674437394140195,0.5415394013439218,0.9572768143982918,0.0060650620768867,0.0700795339979836,1,Alto Rendimiento,1.7759475984070328,1.405236509977738,0.576317185166385,0.09517962754525476,0.8315822773567969,0.8290000862288119,0.5208022619210931,0.1
VOO,2.785095320623917,0.1078155267215017,0.0004669296647187,0.1741561572059231,0.142875827849611,-0.3430142802006947,-0.0168180385143003,-0.0267773663097659,0.3885379454550013,0.4736019838173894,0.3430360842128266,0.9992080366664152,0.0004876446908901,0.9913547264718626,0.9956679800374534,-0.5058755375932456,13.121337340596977,0.5404580152671755,0.9553566492977604,0.0060292512874791,0.0704308189972062,1,Alto Rendimiento,1.776522532082222,1.399624581249248,0.5762677679780351,0.09522581183402413,0.8317729293929623,0.8279336066966044,0.5206141230907848,0.1
URI,24.238556338028168,0.281988258992045,0.0013892192421081,0.4496207144866311,0.3230837200401417,-0.6358595194085027,-0.0413981561044397,-0.0641283963342375,0.667414198996311,0.928809563582962,0.5505669701019854,1.701160424632124,0.1851729247276827,0.4312279570749989,0.6566794934174501,-0.1262380467438834,5.385671479508085,0.5271838729383018,1.0235817508628826,0.0111175375154996,0.2781579475291442,2,Moderado,-3.675497123384316,1.2154245433145583,0.7389460874430782,0.12253620001052394,0.8971218572334867,0.9687178059709819,0.623703830387454,0.1
EPAM,20.238571428571426,0.2934190414007109,0.0014187158588897,0.4383351216432149,0.3625511021333621,-0.7563729111207126,-0.0369390224516498,-0.0608203788755846,0.701555456672978,0.8482015214701872,0.472672131938836,1.3445115812441848,0.2131274127635981,0.2677921200512753,0.5174863476955458,-1.208251870741264,36.71715150644471,0.5364304812834224,1.0088629707278367,0.0150505437789527,0.3122958778356428,2,Moderado,-3.21803981021676,0.9890940183534186,0.7496225030230089,0.1270243963034286,0.9051221604359492,0.8971879946913076,0.6156811179527356,0.1
PAYC,12.336774193548386,0.3060390305518468,0.0015143560724036,0.4730833687265477,0.3700496733783437,-0.7276178081448945,-0.0439127679081722,-0.0673289046756505,0.7009710173037335,0.8961438263632109,0.5244755226905218,1.4860427221181964,0.2371873125257916,0.3101786265261337,0.5569368245376972,-0.669816274682985,16.547122231137713,0.5544189852700491,0.9294887592092907,0.0127588348754059,-0.3532319629560102,2,Moderado,-4.047193893483225,0.9033359024732114,0.7614096444429697,0.03952584085358867,0.9049852090617001,0.925573606994845,0.59921363056934,0.1
LQD,0.0189686924493555,0.0014469510317891,1.820963679849004e-05,0.0793377316679691,0.0626255927475581,-0.2937118217750629,-0.0073790327747027,-0.0114440642127064,-0.5723779918088368,-0.7251216241550251,0.0156235743099704,0.0853546887414091,-0.0511767270971899,0.034866166285992,0.1867248411058156,0.4855368047301298,32.440763206061035,0.5268784361637141,0.8888502746338324,0.0029187011119217,0.0294911154526003,3,Estable,5.45305788948355,-1.398254785633465,0.47691891519541635,0.08984336995685686,0.6066019962365374,0.6446503612122737,0.4137950029833881,0.1
TIP,0.0022377622377622,0.0001720105382432,7.810075484622052e-06,0.0599477304679632,0.0438960046686441,-0.2196240256762953,-0.0057309074350769,-0.0087870337308056,-0.8012290140582394,-1.0942194247620318,0.0089614012677538,-0.0224869825266968,-0.046512905788884,0.004238633468003,-0.0651047883646283,0.0846075689173019,10.989108438463012,0.5051924251679902,0.957888397518296,0.0017680556712868,0.0046733339564444,3,Estable,6.373815869216105,-1.904270011997271,0.4757281135457884,0.08658051617781681,0.5529754548967917,0.6230215390896078,0.40002962064681125,0.1
BND,-0.0691051765599292,-0.0131235664402805,-4.391711922131754e-05,0.0655398753961081,0.0536829141056336,-0.2396066160035762,-0.0057245116383652,-0.0092975152392802,-0.9317551135807968,-1.1375521441255647,-0.0461886830520858,0.0517549859690922,-0.0646242836512796,0.027257352916699,0.1650980100325228,-0.9736011984228562,32.33701922033995,0.5069597069597069,0.9073907423879548,0.002450762137815,0.0172890733056707,3,Estable,6.425062385459943,-2.253362181234992,0.4633099692646003,0.08823913795339265,0.5223893416989492,0.6379115747479006,0.3945709468330504,0.1
