Fecha,Retorno
2024-02-29,0.09646142655176981
2024-03-31,0.031255335924900596
2024-04-30,-0.05086286953504937
2024-05-31,0.04785952342360433
2024-06-30,0.029259279170083197
2024-07-31,0.011417135576119009
2024-08-31,0.03159720336539795
2024-09-30,0.035895573457021435
2024-10-31,-0.013238896411831291
2024-11-30,0.06593209726322735
2024-12-31,-0.0686303783428539
2025-01-31,-0.006448643992743697
2025-02-28,-0.02598890222349881
2025-03-31,-0.05407589301898108
2025-04-30,-0.014313061064899268
2025-05-31,0.116356519503233
2025-06-30,0.07123265506833953
2025-07-31,0.051806888738261
2025-08-31,0.005316968957752799
2025-09-30,0.011501941768159663
2025-10-31,0.04915930830958759
2025-11-30,-0.04469157593880324
2025-12-31,-0.0008233163964943557
