Fecha,Retorno
2024-02-29,0.02387776914708506
2024-03-31,0.02379331235822324
2024-04-30,-0.05084556842733767
2024-05-31,-0.022582008866573244
2024-06-30,0.006527212229615831
2024-07-31,0.05292284393197377
2024-08-31,0.01261923314003166
2024-09-30,0.02062503298274243
2024-10-31,0.003981282847996814
2024-11-30,0.07776953409747667
2024-12-31,-0.06296782954739477
2025-01-31,0.023405894662936966
2025-02-28,-0.025773078046129827
2025-03-31,-0.024280374066358745
2025-04-30,-0.008421946745308606
2025-05-31,0.06046349770126036
2025-06-30,0.007067442367554966
2025-07-31,0.015336330128540299
2025-08-31,0.021430025377001893
2025-09-30,-0.0031586866601461816
2025-10-31,-0.024336769031300776
2025-11-30,-0.002481090940097519
2025-12-31,0.0011887617791448424
