Fecha,Portafolio_Moderado,SPY_Benchmark
2024-01-02,9995.0,9995.0
2024-01-03,9852.341897217371,9913.37363799852
2024-01-04,9896.54544264404,9881.44208187877
2024-01-05,9879.218953904177,9894.975986459327
2024-01-08,9993.549292486707,10036.236115518885
2024-01-09,9990.06597658679,10021.010472865759
2024-01-10,9998.405024490914,10077.683698296838
2024-01-11,10006.335008786613,10073.242885856343
2024-01-12,10045.387503185555,10080.221305405692
2024-01-16,9967.190069475355,10043.214535068233
2024-01-17,9905.316718168733,9987.387178673438
2024-01-18,9990.180285427643,10076.20342748334
2024-01-19,10040.559429273962,10201.81497937163
2024-01-22,10070.64284430232,10223.38463979689
2024-01-23,10073.900508937895,10253.20152332593
2024-01-24,10023.244759382931,10264.409288056702
2024-01-25,10191.147416584561,10320.236644451497
2024-01-26,10155.100815432499,10307.125674389084
2024-01-29,10219.845575839801,10388.752036390564
2024-01-30,10203.774217533672,10380.71628054586
2024-01-31,10083.883338456288,10211.331006029834
2024-02-01,10175.808119529613,10344.978313762827
2024-02-02,10214.577890293896,10453.883952184493
2024-02-05,10142.148979410043,10415.819845551678
2024-02-06,10201.529801720519,10446.059663598859
2024-02-07,10214.41648300405,10533.184174336191
2024-02-08,10205.062936075748,10537.836454035756
2024-02-09,10183.171948377436,10598.739024648261
2024-02-12,10236.844728045573,10594.086744948696
2024-02-13,10028.67552778417,10448.17433618957
2024-02-14,10144.166864987057,10543.123135512536
2024-02-15,10300.33409487749,10615.867872633027
2024-02-16,10278.454434160034,10563.001057865229
2024-02-20,10202.231100266321,10504.84756162065
2024-02-21,10162.955561500195,10514.363588278855
2024-02-22,10263.433226283512,10731.963397863114
2024-02-23,10269.355260793558,10739.364751930605
2024-02-26,10255.74968717631,10700.031841743363
2024-02-27,10289.59209526449,10719.909764096055
2024-02-28,10310.504300835066,10705.741457738286
2024-02-29,10324.663976918084,10744.228498889242
2024-03-01,10355.022504867195,10845.098381466203
2024-03-04,10350.377764645747,10833.467682217286
2024-03-05,10254.237869713545,10725.196445572836
2024-03-06,10304.726342565453,10779.543531154131
2024-03-07,10385.523189131784,10886.545964244155
2024-03-08,10342.794720501302,10821.202581191159
2024-03-11,10338.458636648036,10811.898021792025
2024-03-12,10389.929059465621,10928.205014281182
2024-03-13,10362.50221084409,10911.076166296416
2024-03-14,10329.612568775998,10889.506505871153
2024-03-15,10331.791650419089,10781.235269226701
2024-03-18,10345.837354170722,10845.309848725274
2024-03-19,10389.11568152614,10905.578017560565
2024-03-20,10444.09210276344,11006.447900137524
2024-03-21,10457.118953626672,11042.820268697771
2024-03-22,10421.20097453316,11021.885010049722
2024-03-25,10386.366632521065,10991.433724743469
2024-03-26,10407.67442018672,10971.132867872633
2024-03-27,10539.847534441273,11063.332592827674
2024-03-28,10570.32193191459,11061.217920236964
2024-04-01,10481.551523368238,11041.974399661483
2024-04-02,10418.68198806814,10971.767269649848
2024-04-03,10432.486753167153,10983.820903416905
2024-04-04,10357.787919125205,10849.75066116577
2024-04-05,10404.022920439089,10963.097112027928
2024-04-08,10433.125537371778,10969.229662540994
2024-04-09,10454.596434661897,10981.917698085266
2024-04-10,10321.865729999214,10871.954723368244
2024-04-11,10323.313137810663,10954.004019887867
2024-04-12,10229.542710921109,10802.804929651964
2024-04-15,10109.865025233794,10667.465883846398
2024-04-16,10024.65490215131,10648.010896011849
2024-04-17,9957.589591417036,10584.993652808635
2024-04-18,9971.679397344966,10563.2125251243
2024-04-19,9979.093304633738,10471.012800169261
2024-04-22,10046.082192130725,10567.441870305725
2024-04-23,10144.422393753035,10692.841954934942
2024-04-24,10086.224256178433,10687.766740717234
2024-04-25,10091.714637380293,10647.165026975565
2024-04-26,10120.635946698138,10748.034909552523
2024-04-29,10200.223136084025,10786.099016185339
2024-04-30,10032.867904826438,10615.233470855816
2024-05-01,10010.140979284695,10580.76430762721
2024-05-02,9953.19048492516,10679.730984872527
2024-05-03,10039.489350251779,10812.109489051096
2024-05-06,10134.603613278077,10923.764201840688
2024-05-07,10140.197016469172,10935.817835607744
2024-05-08,10139.162829620971,10936.875171903102
2024-05-09,9975.172309161522,10999.892415106317
2024-05-10,10010.15266600241,11014.060721464088
2024-05-13,10022.6201286631,11015.540992277585
2024-05-14,10017.650096077026,11066.0816671956
2024-05-15,10111.84818559229,11203.112451073734
2024-05-16,10087.529462522842,11180.062519834975
2024-05-17,10094.76991116592,11196.134031524387
2024-05-20,10107.497735360233,11209.033534327727
2024-05-21,10100.432694385552,11236.524278006984
2024-05-22,10050.920293709878,11204.169787369092
2024-05-23,9925.252260393734,11122.33195810854
2024-05-24,9922.692596236335,11195.922564265315
2024-05-28,9863.135960791458,11203.746852850947
2024-05-29,9771.2722087604,11125.292499735535
2024-05-30,9793.626311467264,11051.490426319688
2024-05-31,9806.30559284249,11152.148841637576
2024-06-03,9725.734733843477,11161.241933777637
2024-06-04,9747.57947956963,11173.718502062839
2024-06-05,9797.532442946518,11306.519940759548
2024-06-06,9779.443639276747,11306.308473500476
2024-06-07,9795.831284140728,11292.56310166085
2024-06-10,9806.445109293856,11327.455199407596
2024-06-11,9756.438602254124,11354.734475827781
2024-06-12,9782.240202729445,11447.991537078178
2024-06-13,9783.818797832488,11471.041468316938
2024-06-14,9749.040856238355,11478.019887866287
2024-06-17,9780.671943353573,11569.373743785043
2024-06-18,9836.137382648565,11598.76769279594
2024-06-20,9898.224040260226,11567.259071194332
2024-06-21,9904.28074713868,11514.603723685605
2024-06-24,9907.90725695099,11477.174018830003
2024-06-25,9874.483303525696,11521.370675975882
2024-06-26,9819.950216054105,11535.750449592722
2024-06-27,9845.504333127297,11553.936633872847
2024-06-28,9870.31343063544,11508.47117317254
2024-07-01,9821.116817318902,11532.155506188514
2024-07-02,9855.644346078703,11609.763990267642
2024-07-03,9900.367733753486,11661.573468740085
2024-07-05,9874.90671184599,11728.820057124723
2024-07-08,9886.841954794294,11742.35396170528
2024-07-09,9844.165279780682,11753.773193695126
2024-07-10,9927.837006647922,11870.080186184283
2024-07-11,10020.234046190588,11767.730032793825
2024-07-12,10113.17687276489,11841.955040727813
2024-07-15,10244.014879478822,11874.520998624776
2024-07-16,10409.667662518343,11944.939595895485
2024-07-17,10377.263377639054,11777.4575267111
2024-07-18,10380.405946651603,11686.949539828627
2024-07-19,10295.12250851474,11609.341055749499
2024-07-22,10386.433928598664,11729.031524383794
2024-07-23,10394.807544716557,11710.6338728446
2024-07-24,10212.216512105686,11445.242462710252
2024-07-25,10203.140193436544,11385.608695652174
2024-07-26,10284.182770599453,11513.123452872107
2024-07-29,10268.668654164558,11519.890405162383
2024-07-30,10300.488317089039,11461.525441658734
2024-07-31,10392.678487884625,11647.828096900455
2024-08-01,10334.968995133266,11482.883634824924
