Fecha,Retorno
2024-02-29,0.03138381605198104
2024-03-31,0.0037017023002416938
2024-04-30,-0.055702973668458444
2024-05-31,-0.006517723165927469
2024-06-30,0.039429726357719685
2024-07-31,0.025384775213306066
2024-08-31,0.0002227621655788159
2024-09-30,0.02863148234163093
2024-10-31,-0.018954636524566748
2024-11-30,0.038272459216552424
2024-12-31,0.01690030384902741
2025-01-31,0.008971229077880505
2025-02-28,-0.06275824363996518
2025-03-31,-0.045858662156216146
2025-04-30,0.039110224736290666
2025-05-31,0.05890864419464492
2025-06-30,0.0528615498599756
2025-07-31,0.04822745887500046
2025-08-31,0.01998354020338544
2025-09-30,0.02160904272137798
2025-10-31,0.019197721179889715
2025-11-30,0.017138340405628893
2025-12-31,-0.04932230305153018
