Fecha,Retorno
2024-02-29,0.0676445552628262
2024-03-31,0.01055789283140074
2024-04-30,-0.05956791954333873
2024-05-31,0.008905067776319608
2024-06-30,0.0073753554665314525
2024-07-31,0.02684025820009439
2024-08-31,0.02834390518784269
2024-09-30,0.028747432923534877
2024-10-31,-0.020447060250006532
2024-11-30,0.07052997711216569
2024-12-31,-0.06608896723219382
2025-01-31,0.03177579554247223
2025-02-28,-0.0353065427832443
2025-03-31,-0.03226736136493413
2025-04-30,-0.02141630955989593
2025-05-31,0.07720114010874846
2025-06-30,0.03249603889704766
2025-07-31,0.03464661385834211
2025-08-31,0.016574902670097202
2025-09-30,-0.004354621795972902
2025-10-31,0.028640427251432676
2025-11-30,-0.010396492172544236
2025-12-31,-0.0029715155586287345
