perfil,Retorno_Total_portafolio,Retorno_Total_benchmark,Retorno_Anualizado_portafolio,Retorno_Anualizado_benchmark,Volatilidad_Anualizada_portafolio,Volatilidad_Anualizada_benchmark,Sharpe_Ratio_portafolio,Sharpe_Ratio_benchmark,Sortino_Ratio_portafolio,Sortino_Ratio_benchmark,Max_Drawdown_portafolio,Max_Drawdown_benchmark,Calmar_Ratio_portafolio,Calmar_Ratio_benchmark
conservador,0.2763889248893301,0.4383785890881203,0.1322830228499472,0.2032941792733258,0.1689902064797857,0.1647432624911827,0.5164975217684454,0.960853736169016,0.7216633386720576,1.2266049922464248,-0.1797014309205314,-0.189989068898569,0.7361267084648097,1.070030925736365
moderado,0.1301648202409709,0.4383785890881203,0.0642753399953681,0.2032941792733258,0.1325306005660546,0.1647432624911827,0.1454406749312294,0.960853736169016,0.2056500219452695,1.2266049922464248,-0.1731301628947096,-0.189989068898569,0.3712544303123985,1.070030925736365
agresivo,0.2719416594133519,0.4383785890881203,0.1302728552405008,0.2032941792733258,0.1718262185133933,0.1647432624911827,0.496273828163506,0.960853736169016,0.7004372630702548,1.2266049922464248,-0.2153997044662516,-0.189989068898569,0.6047958866206881,1.070030925736365
especulativo,0.5015641019666509,0.4383785890881203,0.2299200541496004,0.2032941792733258,0.2195864171025295,0.1647432624911827,0.8421288374283068,0.960853736169016,1.1651891724840089,1.2266049922464248,-0.262228985901101,-0.189989068898569,0.8767911501450654,1.070030925736365
normal,0.6185848190998544,0.4383785890881203,0.2778178862324365,0.2032941792733258,0.2465896499064274,0.1647432624911827,0.9441510879340764,0.960853736169016,1.2748956967035776,1.2266049922464248,-0.2498977453206707,-0.189989068898569,1.1117262617793469,1.070030925736365
