ticker,return_total,return_annualized,return_mean_daily,volatility_annual,downside_dev_annual,max_drawdown,var_95,cvar_95,sharpe_ratio,sortino_ratio,calmar_ratio,beta,alpha_annual,r_squared,correlation_spy,skewness,kurtosis,positive_return_ratio,gain_loss_ratio,vol_of_vol,momentum_6m,segmento,segmento_nombre,pca_1,pca_2
UDR,0.6279761904761905,0.0382109147739977,0.0002703150814728,0.2470870230329757,0.186785298168559,-0.4833031748642868,-0.0243977935075766,-0.0362342689645052,0.0733320605378422,0.0970065669452104,0.1409454853059832,0.8483164829555181,-0.0391828507674339,0.3550789502549793,0.5958850142896525,-0.1359183981940971,11.795534654567325,0.5271838729383018,0.9223689008485918,0.007890342775638,-0.1229958772331653,1,Alto Rendimiento,1.1564350030777724,-0.611634486468294
UHS,2.555037313432836,0.1025176891634274,0.0006031500826813,0.3290472464696849,0.254355541307684,-0.5643303082963249,-0.0282049201956035,-0.0482552679606596,0.3099671002568269,0.4009891835315813,0.2693348533672783,1.0659258884634817,0.0299924459318213,0.3161160078375589,0.5622419477747627,-0.0452371690073762,17.149057172963804,0.5186316432498472,1.009619878266074,0.0102755884336611,-0.0191107393346631,2,Moderado,-0.5470482384233919,-0.11482132239013146
UNG,-0.9717580213903744,-0.2399571354114283,-0.0006466240570966,0.4719232670903158,0.3107261560190379,-0.9779296875,-0.045315719810023,-0.0665886339268594,-0.4512370489832025,-0.6853277661482047,-0.1666267672115699,0.2350458030775615,-0.2291503570494734,0.0074703544055589,0.0864312119870996,0.1368727239781923,3.0710197629908285,0.4784732824427481,0.997203059579992,0.01216740197313,-0.2997237569060773,-1,Outliers,-1.09988790891352,-6.283934010138383
UNH,13.81344963421497,0.2304896742943931,0.0009499060670093,0.252168425884727,0.1823436712436561,-0.3617634535390259,-0.0226934245399865,-0.0348560456858041,0.7509914384480222,1.038568147689048,0.6616929558378442,0.8932739893263743,0.1290372789641356,0.378004484077133,0.6148206926227622,-0.0158630796214204,10.818111458675574,0.5293219303604154,1.0510897171079194,0.0072522883553753,0.1016782455846656,0,Conservador,0.13471934796076762,2.673755557905739
UNP,4.338404694631602,0.1375534599154602,0.0006366560313879,0.250789695262862,0.1792544358865893,-0.4444803359444399,-0.023720272138765,-0.0356593096844845,0.4403582842349187,0.6160925355265602,0.3609548205745747,1.0003389468457262,0.0428662248436436,0.4792741109621537,0.6922962595321123,-0.0820503995623401,7.506185908065252,0.5192425167990226,1.0291559523441034,0.006496683728368,0.1915781303061174,0,Conservador,0.43731598130311594,1.1355608019016545
URI,24.238556338028168,0.281988258992045,0.0013892192421081,0.4496207144866311,0.3230837200401417,-0.6358595194085027,-0.0413981561044397,-0.0641283963342375,0.667414198996311,0.928809563582962,0.5505669701019854,1.701160424632124,0.1851729247276827,0.4312279570749989,0.6566794934174501,-0.1262380467438834,5.385671479508085,0.5271838729383018,1.0235817508628826,0.0111175375154996,0.2781579475291442,2,Moderado,-3.675497123384316,1.2154245433145585
USB,0.5958702064896755,0.0366209113690549,0.0002971071841565,0.2787827728753969,0.214402756456788,-0.5465612648221344,-0.026037192107403,-0.0416556912193304,0.0892128668889056,0.1160013556657116,0.1369855773292273,1.1128137201878294,-0.0502975531227223,0.479978811886771,0.692805031655206,0.0619197271968236,11.435767371407325,0.5116065974343311,0.9846442746751788,0.0096584006039997,0.2888624181060155,1,Alto Rendimiento,0.40907762674326115,-0.7738179351082184
USO,-0.7862685992816829,-0.1119213894809458,-0.0002003631198917,0.3659141890376295,0.2931158699244224,-0.9528239202657808,-0.0348259158916597,-0.0549449593282327,-0.2746313458819849,-0.3428388447156756,-0.0529914343445902,0.7317344960495198,-0.1494011330248607,0.1204304133916474,0.3470308536595088,-0.9183148612646804,13.606203964031984,0.517557251908397,0.8921708475129699,0.0113009608542403,0.0514276699794922,-1,Outliers,-0.5444808685889335,-4.170794413405746
V,13.7090395480226,0.2298201438676144,0.0009433749511183,0.2484345428985329,0.175135275854811,-0.3636491491256856,-0.0232191897576924,-0.0348806625830995,0.7556537246855128,1.0719170467830237,0.6537358557097958,1.06242886133614,0.1159653306651015,0.5509151913535821,0.7422366141289327,0.4775761653603749,10.21369076434619,0.5375687232742822,1.0097365826689093,0.0072492163486745,0.094045467916124,0,Conservador,-0.06263666233506684,2.782753242988543
VEA,0.3379888268156426,0.0226572097397332,0.0001572307982662,0.1849114485943426,0.1493287751642858,-0.3989139515455305,-0.0183220464827809,-0.0282654367990667,-0.056123289908783,-0.0694965777727435,0.0993250825386696,0.9253938976308428,-0.0728865307433713,0.7544572754919903,0.8685950008444616,-0.7998952459341507,10.440887580030308,0.5238240684178375,0.923679627940006,0.0058109796897576,0.0354517942066581,1,Alto Rendimiento,2.3517042598734563,-0.4796762703987355
VFC,-0.7829099307159353,-0.1108874848315402,-4.677321140068284e-05,0.3949302145978543,0.3952161187638608,-0.9467024695878596,-0.0314381188916226,-0.0565140434260274,-0.1564500435498149,-0.1563368656780148,-0.0124504262443758,1.1022141982349265,-0.1362394341763095,0.234639038275329,0.4843955390745553,-8.439466727495448,257.76035484516115,0.518020769700672,0.9131632876484423,0.0156575270573918,-0.0177638453500522,-1,Outliers,-0.8097788869643595,-3.7281391756534723
VIXY,-0.999902120408936,-0.5091697728454134,-0.00191303892886,0.6890719295590253,0.3486587510828137,-0.9999366543665436,-0.060338032477081,-0.0792806070275477,-0.772177456732623,-1.526093374740357,-0.4821163500383221,-3.1288828662415744,-0.3225176774367896,0.6220885203885782,-0.7887258841882763,1.5886176495484725,7.701137502089786,0.4048347613219094,1.280637426351099,0.0179930982136097,-0.3735864297253635,-1,Outliers,0.3942783329455527,-11.327114934087223
VLO,5.1845861084681255,0.1505053315017923,0.0008710669965633,0.3991238360991652,0.2814780578357848,-0.737865638058502,-0.0372555960283832,-0.0562238032365761,0.4247024802894691,0.6022099357842488,0.2974916730253796,1.2481858962533208,0.0851961728052747,0.2946132004508053,0.5427828299152483,0.5067142135465555,12.470356800096626,0.5195479535736103,1.0142156136363212,0.0115408355625377,0.1070424934003235,2,Moderado,-2.3420913698290082,-0.24108260222916827
