ticker,return_total,return_annualized,return_mean_daily,volatility_annual,downside_dev_annual,max_drawdown,var_95,cvar_95,sharpe_ratio,sortino_ratio,calmar_ratio,beta,alpha_annual,r_squared,correlation_spy,skewness,kurtosis,positive_return_ratio,gain_loss_ratio,vol_of_vol,momentum_6m
VTR,0.08916083916083939,0.006593457613750742,0.00023912652538161326,0.32413084284245,0.2754336545142497,-0.7783437826541275,-0.02723946591341097,-0.04607927943848437,0.03165352703307397,0.03724993016652487,0.07742065362259624,0.9430359657615335,-0.0534404974535658,0.25499096097869717,0.5049662968740559,-0.9458079854632307,38.0665024822663,0.5308491142333537,0.9090171226843844,0.012728551057236508,0.032739328636552045
VWO,-0.12348048624440178,-0.01009002411940696,4.7080485735503126e-05,0.20929000476313145,0.15487459964135808,-0.43699467560638927,-0.02010501390060041,-0.030516327837931834,-0.18221471033848058,-0.24623610122617784,0.02714971844653139,0.9331737626455952,-0.10116992537767583,0.5988761991767575,0.773870918937233,-0.5068625065194495,6.329861119978904,0.5134392180818571,0.9420195222923433,0.005584142205015824,0.00048685491723476915
VXX,-0.9644167278063096,-0.42946229068611386,-0.0011971580714698607,0.7380403465187907,0.341320531545165,-0.9859782608695652,-0.05931254272958273,-0.07773328092983796,-0.4765103095911179,-1.0303623764393106,-0.3059741233486633,-2.6591812931195853,-0.19004503259880268,0.5471963050233352,-0.739727182833871,1.9075759033570896,9.172120002847997,0.4034736138944556,1.345954762785916,0.019914230234706988,-0.3726758286176233
VYM,1.6465149359886202,0.07776317177931835,0.0003476251750796127,0.15898248706639456,0.12891713610105032,-0.3567208271787297,-0.015285328348630745,-0.023947996395021865,0.23651374949467974,0.2916721954681714,0.24557451498667596,0.855334324344634,-0.020174749730975827,0.8719311993482298,0.9337725629660736,-0.4649357481082456,14.732249312272526,0.5302382406841784,0.9670929298949122,0.005553107490215836,0.04679294823705926
VZ,0.06197183098591563,0.004637315952942256,8.707743929976698e-05,0.18614985168317988,0.13149530000880386,-0.5058804575479298,-0.018425959708322236,-0.026893531778545542,-0.15071989068360805,-0.21336492859121423,0.043376877632127615,0.5068835527157053,-0.06229555679917194,0.22335722234418273,0.4726068369630117,0.09400014251239737,5.223488122833103,0.5079413561392792,0.9700759564052513,0.004334802363346638,0.011266094420600892
WAB,3.8122866894197953,0.1285078992727906,0.000667252822005316,0.3066096458811295,0.22604614157128447,-0.6441358833289669,-0.029172628127509377,-0.04461877134275193,0.3853359238122101,0.5226707712154481,0.26104385036947997,1.134451839422263,0.0415175316134562,0.41239129584962864,0.6421769972909561,-0.2253831258097857,7.367435096651425,0.518020769700672,1.0201298884822283,0.008232790640069489,0.16049382716049387
WAT,3.149086326402017,0.11570484724067165,0.0005782035136195719,0.2688351753509302,0.2027150911020488,-0.44266541087826705,-0.025392893220169136,-0.03995715473918901,0.35600730189863883,0.47212708689730515,0.3291589581012048,0.9930695763728258,0.02862722325526995,0.4110514256324583,0.6411329235287003,-0.020058152754658633,7.413013349991802,0.5287110568112401,0.9772632201589685,0.007000680079710858,0.2434565849605319
WDC,0.668212478920742,0.04523392502933676,0.0005398464822651309,0.42726110826398084,0.3135112653826841,-0.7445280833815865,-0.038783795876130046,-0.06182579715875036,0.20137876316524658,0.2744440887181122,0.18272153403928607,1.4637853630913613,-0.02464210465878794,0.33814229085517317,0.5815000351291246,-0.15944967012181652,7.083945910060006,0.5109814687714482,1.0008789206690307,0.010621585919766372,0.35979381443298974
WEC,1.8483925549915399,0.08385009151087974,0.0004044211418345264,0.2058541310104126,0.16212987251870759,-0.32305194805194803,-0.01883764855869192,-0.029876054120556862,0.2521889042861846,0.3202008793062517,0.31547287783546335,0.5371283222785151,0.01563715742414047,0.20502803822612564,0.4528002188892201,-0.7496980354619022,21.95646747047022,0.5316030534351145,0.9524933169360623,0.00655828243089175,-0.05765785938199719
WELL,0.9087637595258256,0.05098452547693122,0.00037547160089212046,0.298551974619742,0.2460641560185743,-0.6407094959982695,-0.025377553134474283,-0.04343757383316334,0.14945084011467094,0.181330121976182,0.14767822861340876,0.8762923996654165,-0.014772338346545844,0.25944005469020104,0.5093525838652446,-0.1326146906805814,29.6656674104809,0.536793893129771,0.9050368998434241,0.011220805589374088,0.10678777464097222
WHR,0.3480571238791099,0.023247301025471234,0.00033873791064621385,0.35290528924590986,0.2679809943236252,-0.7013023255813954,-0.03226087827184576,-0.05228215635322037,0.10020239016084889,0.13195694557406298,0.12171919351911305,1.2349962715287548,-0.048059821439438155,0.3689129903079307,0.6073820793437444,0.13977771427183552,16.262204048178173,0.5158827122785583,0.9779518745678487,0.009814074222526123,-0.1836283185840708
WM,3.890770070999454,0.12991353495700642,0.0005557905542736689,0.1887220454973237,0.14820602528318744,-0.30383457455236884,-0.016209445540986765,-0.02798453558467587,0.4772056144243185,0.6076623369723478,0.4609719610854359,0.675707711565512,0.04441638015835364,0.38617261292955835,0.6214278823238931,-0.2918157625655733,11.019848884035522,0.5418448381185095,0.9593260075443146,0.005942740608177131,0.04492415402567085
WMB,0.7319741422178021,0.043169646184101795,0.00047603758079608804,0.39242918764259205,0.31687809323552885,-0.8480118304304962,-0.030036878820521445,-0.05449564305319916,0.1782779481334914,0.22078355005946496,0.1414620245329777,1.1362988456954648,-0.006793471120074446,0.2525640414595963,0.5025575006500215,0.22277216575945383,39.05112354246615,0.516188149053146,0.9817379765437224,0.01561802692909963,0.06448655256723712
WMT,1.9406827084499159,0.08651186789304255,0.0004060687329331977,0.19653320076088457,0.15071838015784841,-0.3763262599469496,-0.017021422335815637,-0.028076081245340095,0.26626198777901733,0.3471993305949874,0.2719165032851842,0.5128737598640914,0.017759948850336563,0.20508138085053337,0.4528591181046633,0.05488438703760092,16.234488206210735,0.5163358778625954,0.9957948704720369,0.0057837143263074434,-0.0034136165370756144
WRB,4.771113831089351,0.1443959556687353,0.0006338906527086789,0.22234495043036342,0.1708488871889898,-0.4544167610419026,-0.019179955054970187,-0.03167804297281983,0.4935594186878414,0.6423246079513195,0.3515285046183786,0.8194042734145294,0.054391160891205007,0.4091201760845363,0.6396250277190038,-0.2127548429258839,14.235526733364424,0.5247403787416005,0.9826509173084527,0.0073585351118461454,0.18497109826589586
